orgId,activityId,orgName,activityName,address,mainCate,subCate,peoples,teachers,signup,startDate,endDate,hasFoodActivity,weekTime,join,W1,W2,W3,W4,W5,W6,W7,address_plain,geo_plain,geotown_plain
1031,50307,財團法人基督教拿撒勒人會(關渡據點),週五上午ㄧ促進健康運動課程,台北市北投區知行路260巷26號,課程,運動,28,陳睿玟,Y,2025-01-01,2025-12-31,N,"[{'days': ['5'], 'startTime': '09:00', 'endTime': '12:00'}]","[{'address': '臺北市北投區關渡里知行路260巷26號', 'url': 'https://esp.gov.taipei/openData/orgInfo/5244', 'tel': '02-28586757', 'foodType': '葷、全素', 'geo': [121.468278537989, 25.120812444396], 'geotown': '北投區', 'geovillage': '關渡里'}]",,,,,yes,,,臺北市北投區關渡里知行路260巷26號,"[121.468278537989, 25.120812444396]",北投區
1031,50925,財團法人基督教拿撒勒人會(關渡據點),週五上午--預防及延緩失能,台北市北投區知行路260巷26號,課程,運動,30,陳睿玟,Y,2025-05-16,2025-08-08,N,"[{'days': ['5'], 'startTime': '09:00', 'endTime': '12:00'}]","[{'address': '臺北市北投區關渡里知行路260巷26號', 'url': 'https://esp.gov.taipei/openData/orgInfo/5244', 'tel': '02-28586757', 'foodType': '葷、全素', 'geo': [121.468278537989, 25.120812444396], 'geotown': '北投區', 'geovillage': '關渡里'}]",,,,,yes,,,臺北市北投區關渡里知行路260巷26號,"[121.468278537989, 25.120812444396]",北投區
74,51927,財團法人台北市北投文化基金會,養生太極-1,臺北市北投區林泉里中山路5-12號(503教室),課程,運動,20,龔一誠,Y,2025-02-04,2025-07-29,N,"[{'days': ['2'], 'startTime': '14:00', 'endTime': '17:00'}]","[{'address': '臺北市北投區林泉里中山路5-12號', 'url': 'https://esp.gov.taipei/openData/orgInfo/4959', 'tel': '02-28934760', 'foodType': '葷、蛋奶素', 'geo': [121.509603616371, 25.1380068416652], 'geotown': '北投區', 'geovillage': '林泉里'}]",,yes,,,,,,臺北市北投區林泉里中山路5-12號,"[121.509603616371, 25.1380068416652]",北投區
74,51929,財團法人台北市北投文化基金會,銀髮體適能-1,臺北市北投區林泉里中山路5-12號(503教室),課程,運動,20,李星儀,Y,2025-02-05,2025-07-30,N,"[{'days': ['3'], 'startTime': '14:00', 'endTime': '17:00'}]","[{'address': '臺北市北投區林泉里中山路5-12號', 'url': 'https://esp.gov.taipei/openData/orgInfo/4959', 'tel': '02-28934760', 'foodType': '葷、蛋奶素', 'geo': [121.509603616371, 25.1380068416652], 'geotown': '北投區', 'geovillage': '林泉里'}]",,,yes,,,,,臺北市北投區林泉里中山路5-12號,"[121.509603616371, 25.1380068416652]",北投區
74,52423,財團法人台北市北投文化基金會,預防及延緩失能-2,,課程,運動,15,黎庭安,Y,2025-05-08,2025-07-24,N,"[{'days': ['4'], 'startTime': '14:00', 'endTime': '17:00', 'center': None}]","[{'address': '臺北市北投區林泉里中山路5-12號', 'url': 'https://esp.gov.taipei/openData/orgInfo/4959', 'tel': '02-28934760', 'foodType': '葷、蛋奶素', 'geo': [121.509603616371, 25.1380068416652], 'geotown': '北投區', 'geovillage': '林泉里'}]",,,,yes,,,,臺北市北投區林泉里中山路5-12號,"[121.509603616371, 25.1380068416652]",北投區
749,52823,臺北市北投區開明社區發展協會,肌力勇健班,,課程,運動,25,許筑媛,N,2025-03-07,2025-12-31,N,"[{'days': ['5'], 'startTime': '09:00', 'endTime': '12:00', 'center': None}]","[{'address': '臺北市北投區開明里永興路2段8號', 'url': 'https://esp.gov.taipei/openData/orgInfo/5016', 'tel': '0912-818252', 'foodType': '葷', 'geo': [121.501454592309, 25.1398598615112], 'geotown': '北投區', 'geovillage': '開明里'}]",,,,,yes,,,臺北市北投區開明里永興路2段8號,"[121.501454592309, 25.1398598615112]",北投區
749,52828,臺北市北投區開明社區發展協會,健康動動班,,課程,運動,25,許筑媛,N,2025-03-05,2025-12-31,N,"[{'days': ['3'], 'startTime': '09:00', 'endTime': '12:00', 'center': None}]","[{'address': '臺北市北投區開明里永興路2段8號', 'url': 'https://esp.gov.taipei/openData/orgInfo/5016', 'tel': '0912-818252', 'foodType': '葷', 'geo': [121.501454592309, 25.1398598615112], 'geotown': '北投區', 'geovillage': '開明里'}]",,,yes,,,,,臺北市北投區開明里永興路2段8號,"[121.501454592309, 25.1398598615112]",北投區
749,52830,臺北市北投區開明社區發展協會,預防及延緩失能,,課程,運動,25,許筑媛,N,2025-03-06,2025-11-27,N,"[{'days': ['4'], 'startTime': '09:00', 'endTime': '12:00', 'center': None}]","[{'address': '臺北市北投區開明里永興路2段8號', 'url': 'https://esp.gov.taipei/openData/orgInfo/5016', 'tel': '0912-818252', 'foodType': '葷', 'geo': [121.501454592309, 25.1398598615112], 'geotown': '北投區', 'geovillage': '開明里'}]",,,,yes,,,,臺北市北投區開明里永興路2段8號,"[121.501454592309, 25.1398598615112]",北投區
372,48066,臺北市北投區豐年里辦公處,醫藥保健、衛生教育、體適能運動課程,臺北市北投區豐年里中央北路2段95巷1弄1號1樓,課程,運動,20,楊雁如,Y,2025-02-01,2025-12-31,N,"[{'days': ['2'], 'startTime': '09:00', 'endTime': '12:00'}]","[{'address': '臺北市北投區豐年里中央北路2段95巷1弄1號1樓', 'url': 'https://esp.gov.taipei/openData/orgInfo/5111', 'tel': '02-28914462', 'foodType': '葷', 'geo': [121.495189814355, 25.1365616811272], 'geotown': '北投區', 'geovillage': '豐年里'}]",,yes,,,,,,臺北市北投區豐年里中央北路2段95巷1弄1號1樓,"[121.495189814355, 25.1365616811272]",北投區
174,47873,臺北市北投區硫磺谷社區發展協會,廣場舞運動教學,臺北市北投區稻香路81號6樓第一教室,課程,運動,40,余素花,N,2025-01-06,2025-12-29,N,"[{'days': ['1'], 'startTime': '09:00', 'endTime': '12:00'}]","[{'address': '臺北市北投區文化里稻香里稻香路81號6樓(稻香區民活動中心)及文化三路48號1樓(', 'url': 'https://esp.gov.taipei/openData/orgInfo/4831', 'tel': '0910412056', 'foodType': '葷、蛋奶素、全素', 'geo': [121.48936559992, 25.140991399607], 'geotown': '北投區', 'geovillage': '文化里稻香里'}]",yes,,,,,,,臺北市北投區文化里稻香里稻香路81號6樓(稻香區民活動中心)及文化三路48號1樓(,"[121.48936559992, 25.140991399607]",北投區
174,47875,臺北市北投區硫磺谷社區發展協會,自癒力體適能運動,臺北市北投區稻香路81號(稻香區民活動中心6樓第一教室),課程,運動,40,周艷霞,N,2025-01-07,2025-12-30,N,"[{'days': ['2'], 'startTime': '09:00', 'endTime': '12:00'}]","[{'address': '臺北市北投區文化里稻香里稻香路81號6樓(稻香區民活動中心)及文化三路48號1樓(', 'url': 'https://esp.gov.taipei/openData/orgInfo/4831', 'tel': '0910412056', 'foodType': '葷、蛋奶素、全素', 'geo': [121.48936559992, 25.140991399607], 'geotown': '北投區', 'geovillage': '文化里稻香里'}]",,yes,,,,,,臺北市北投區文化里稻香里稻香路81號6樓(稻香區民活動中心)及文化三路48號1樓(,"[121.48936559992, 25.140991399607]",北投區
174,47879,臺北市北投區硫磺谷社區發展協會,延緩暨預防失能(第二期),臺北市北投區稻香路81號(稻香區民活動中心6樓第一教室,課程,運動,40,簡,N,2025-05-28,2025-08-13,N,"[{'days': ['3'], 'startTime': '09:00', 'endTime': '12:00'}]","[{'address': '臺北市北投區文化里稻香里稻香路81號6樓(稻香區民活動中心)及文化三路48號1樓(', 'url': 'https://esp.gov.taipei/openData/orgInfo/4831', 'tel': '0910412056', 'foodType': '葷、蛋奶素、全素', 'geo': [121.48936559992, 25.140991399607], 'geotown': '北投區', 'geovillage': '文化里稻香里'}]",,,yes,,,,,臺北市北投區文化里稻香里稻香路81號6樓(稻香區民活動中心)及文化三路48號1樓(,"[121.48936559992, 25.140991399607]",北投區
174,49223,臺北市北投區硫磺谷社區發展協會,廣場舞運動教學,臺北市北投區稻香路81號6樓第一教室,課程,運動,40,余素花,N,2025-01-06,2025-12-29,N,"[{'days': ['1'], 'startTime': '09:00', 'endTime': '12:00'}]","[{'address': '臺北市北投區文化里稻香里稻香路81號6樓(稻香區民活動中心)及文化三路48號1樓(', 'url': 'https://esp.gov.taipei/openData/orgInfo/4831', 'tel': '0910412056', 'foodType': '葷、蛋奶素、全素', 'geo': [121.48936559992, 25.140991399607], 'geotown': '北投區', 'geovillage': '文化里稻香里'}]",yes,,,,,,,臺北市北投區文化里稻香里稻香路81號6樓(稻香區民活動中心)及文化三路48號1樓(,"[121.48936559992, 25.140991399607]",北投區
